city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,32,7,13,0.3,5,91,62,6
阿克苏地区,76,55,88,0.55,24,54,31,8
阿拉善盟,43,15,18,0.33,9,102,85,12
阿勒泰地区,0,0,0,0.0,0,0,0,0
阿里地区,31,5,7,0.4,33,53,60,13
安康,68,45,83,0.77,35,78,44,12
安庆,116,87,107,0.86,22,126,83,12
鞍山,92,68,110,1.8,50,63,46,29
安顺,38,26,34,0.78,18,73,46,22
安阳,49,19,48,0.72,30,67,44,15
白城,41,12,28,0.15,12,90,81,6
百色,61,43,67,1.05,23,63,30,11
白山,59,19,66,1.3,10,82,54,12
白银,45,31,0,0.7,27,68,45,16
保定,52,21,51,0.6,32,67,37,11
宝鸡,55,26,57,0.7,27,80,48,5
保山,37,17,36,0.25,7,90,46,5
包头,115,86,135,2.43,54,58,34,103
巴彦淖尔,57,36,61,0.73,16,63,52,26
巴中,67,48,64,0.35,21,107,60,5
北海,87,64,75,1.05,15,128,93,10
北京,55,17,57,0.48,19,62,48,6
蚌埠,80,51,107,0.65,22,94,68,15
本溪,66,39,80,1.37,43,55,35,27
毕节,58,40,62,0.85,32,57,35,20
滨州,69,46,86,0.93,34,68,50,36
博州,57,32,62,0.4,24,74,59,15
亳州,46,23,45,0.8,19,90,64,5
沧州,65,46,77,0.7,30,70,42,25
长春,57,23,62,0.47,24,59,51,12
常德,60,42,51,0.83,22,114,74,8
昌都,20,12,19,1.1,11,51,37,2
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,65,37,77,1.0,14,74,43,17
长沙,113,84,90,1.26,49,87,46,14
常熟,55,38,57,0.6,40,81,62,21
长治,56,32,59,0.98,32,71,52,25
常州,61,43,65,0.76,40,63,39,13
朝阳,38,17,37,0.55,13,72,49,10
潮州,39,26,38,0.83,8,90,70,8
承德,48,14,47,0.58,15,54,32,5
成都,69,49,75,0.61,31,77,52,7
郴州,106,79,103,0.58,30,130,64,15
赤峰,42,16,41,0.25,17,53,49,6
池州,119,89,138,0.93,26,121,76,17
重庆,80,58,81,0.88,38,63,28,7
崇左,54,31,56,0.8,13,91,54,7
楚雄州,25,9,14,0.6,5,71,49,8
滁州,76,55,90,0.7,12,112,86,12
大连,81,59,105,1.37,54,35,38,23
大理州,36,10,21,0.6,10,87,71,5
丹东,72,50,92,1.1,31,53,41,28
大庆,42,16,41,0.34,15,64,55,7
大同,69,49,81,0.83,38,49,32,50
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,31,18,19,0.4,8,67,61,7
达州,122,92,153,2.5,55,70,49,23
德宏州,56,24,60,0.55,11,90,45,8
德阳,88,65,102,0.73,46,71,40,11
德州,78,45,104,1.1,36,74,46,32
定西,42,22,41,0.55,25,67,41,21
迪庆州,33,15,18,0.1,4,78,64,9
东莞,65,46,54,0.75,19,114,86,11
东营,76,40,100,0.57,25,68,45,22
鄂尔多斯,32,11,31,0.62,21,79,56,10
恩施州,60,41,68,0.65,22,78,37,3
鄂州,98,73,112,1.07,31,111,72,11
防城港,65,37,77,1.03,22,118,84,10
佛山,80,58,92,0.96,28,120,79,11
抚顺,70,38,87,1.1,50,48,40,35
阜新,31,10,30,0.3,8,77,59,16
阜阳,54,27,55,0.23,14,102,77,3
富阳,70,50,80,0.8,5,45,34,3
福州,64,45,69,0.84,23,100,75,6
抚州,109,81,121,1.04,19,131,71,13
甘南州,31,7,16,0.7,1,95,60,9
赣州,97,72,99,1.52,22,102,66,12
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,35,24,32,0.4,6,75,62,8
广安,57,31,62,0.62,21,93,50,17
广元,42,14,41,1.0,17,89,37,6
广州,75,54,78,0.92,27,132,97,10
贵港,74,53,69,0.78,15,104,77,12
桂林,63,44,70,0.6,22,110,82,13
贵阳,83,61,91,0.79,40,47,36,31
果洛州,20,4,8,0.3,5,61,29,3
固原,35,9,22,0.9,12,95,69,9
哈尔滨,53,20,54,0.65,24,56,46,20
海北州,42,9,15,0.7,8,92,83,11
海东地区,38,18,37,1.2,20,84,53,42
海口,45,25,44,0.86,9,83,53,6
海门,68,34,83,1.05,35,53,51,14
海南州,43,4,12,0.7,7,111,84,11
海西州,44,4,18,0.9,7,88,86,2
哈密地区,96,71,32,0.5,10,61,40,17
邯郸,72,28,92,0.78,23,81,40,19
杭州,80,58,90,0.77,20,112,69,10
汉中,70,50,71,0.9,24,90,44,10
鹤壁,49,17,48,0.53,32,63,40,13
河池,66,47,64,0.9,20,80,52,9
合肥,43,30,41,0.44,26,95,66,6
鹤岗,87,64,94,0.78,29,47,42,16
黑河,55,28,57,0.87,32,23,24,15
衡水,59,30,66,0.7,25,79,60,25
衡阳,108,80,114,1.28,40,98,44,18
和田地区,59,41,55,0.4,27,53,33,21
河源,58,40,47,0.8,18,113,98,10
菏泽,75,46,97,0.83,34,64,42,19
贺州,74,53,76,0.6,18,118,76,16
红河州,20,6,16,0.83,5,55,38,6
淮安,82,32,111,0.73,26,63,45,15
淮北,57,36,61,0.67,27,70,46,17
怀化,103,76,119,0.9,14,108,63,5
淮南,67,43,82,0.4,18,102,77,11
黄冈,89,66,103,0.55,31,112,72,6
黄南州,28,8,25,1.4,12,58,54,14
黄山,58,40,61,0.57,12,104,75,10
黄石,74,51,96,0.58,21,97,59,7
呼和浩特,82,51,112,1.21,40,43,28,30
惠州,75,54,74,1.06,23,125,95,12
葫芦岛,60,29,68,1.05,38,46,40,46
呼伦贝尔,33,15,22,0.4,8,71,64,3
湖州,88,65,87,0.81,47,87,60,16
佳木斯,49,32,48,0.72,22,52,51,11
吉安,115,86,129,0.7,24,119,62,12
江门,96,71,99,1.13,33,130,84,10
江阴,77,45,101,0.7,39,62,40,17
胶南,94,69,135,1.35,72,49,46,23
胶州,61,33,70,0.7,28,92,68,8
焦作,54,29,56,0.62,21,94,88,10
嘉兴,80,58,83,0.63,28,92,61,10
嘉峪关,71,51,63,1.05,26,101,78,12
揭阳,65,46,63,0.98,17,113,78,8
吉林,63,42,73,0.64,25,74,63,10
即墨,100,36,147,1.05,62,58,43,24
济南,77,38,101,0.76,43,63,51,28
金昌,36,22,34,0.37,7,102,70,13
晋城,36,12,35,0.4,13,92,64,9
景德镇,92,68,106,0.93,20,112,65,20
荆门,59,35,65,0.54,23,87,55,6
荆州,63,44,72,0.73,19,96,57,8
金华,97,72,94,0.97,23,127,73,16
济宁,86,63,95,0.83,37,52,27,22
金坛,87,64,100,1.4,32,109,71,14
晋中,79,55,105,0.88,44,54,31,102
锦州,62,38,71,0.9,45,51,44,48
九江,64,45,61,0.49,22,99,74,15
酒泉,61,43,63,0.85,28,98,67,17
鸡西,56,33,59,0.53,28,50,42,18
句容,61,43,70,1.05,18,89,57,17
开封,54,28,55,0.83,25,75,52,13
喀什地区,106,79,135,1.3,28,50,32,11
克拉玛依,72,25,91,0.92,32,65,48,7
克州,70,40,88,1.0,4,46,28,5
库尔勒,85,62,113,2.15,15,51,41,5
昆明,25,17,24,0.83,15,69,33,9
昆山,84,59,115,1.05,38,68,78,15
来宾,80,58,84,1.05,19,106,75,14
莱芜,90,63,127,1.0,40,61,34,38
莱西,96,71,107,1.35,45,66,48,39
莱州,84,58,116,1.5,65,71,59,48
廊坊,56,27,59,0.6,28,63,37,7
兰州,71,51,88,1.45,70,77,48,25
拉萨,33,5,14,0.42,7,104,60,4
乐山,56,39,50,0.72,15,89,44,5
凉山州,46,30,45,1.04,16,112,73,17
连云港,60,39,68,0.93,34,66,47,20
聊城,81,54,109,0.83,45,74,41,30
辽阳,89,66,113,1.47,36,64,42,29
辽源,52,34,51,1.1,18,68,56,36
丽江,35,9,34,0.65,7,76,64,6
临安,92,68,0,0.7,4,38,26,2
临沧,59,41,64,0.7,5,76,47,10
临汾,92,68,106,3.33,41,75,42,72
临夏州,33,10,18,0.35,16,99,64,22
临沂,108,63,164,1.13,54,51,38,31
林芝,27,4,8,1.15,2,71,53,3
林芝地区,18,4,16,0.35,6,51,35,3
丽水,83,61,86,0.83,17,113,65,12
六盘水,41,24,40,0.83,18,39,33,14
柳州,89,66,88,0.98,22,89,71,25
溧阳,113,84,128,1.3,29,117,78,14
陇南,29,5,28,0.5,16,84,54,7
龙岩,44,30,43,0.7,11,101,86,8
娄底,69,39,85,1.38,21,106,68,9
六安,58,33,63,0.45,12,148,93,7
漯河,36,12,35,0.38,17,99,70,9
洛阳,59,18,65,0.37,15,86,62,6
泸州,70,50,68,0.48,21,91,47,12
吕梁,62,33,71,1.13,38,61,36,35
马鞍山,58,36,64,0.65,25,104,76,16
茂名,65,46,65,0.9,15,128,80,10
眉山,49,27,48,0.5,14,106,59,7
梅州,48,33,45,0.8,24,96,71,7
绵阳,92,68,97,0.7,22,91,42,6
牡丹江,100,75,126,0.98,49,19,23,22
南昌,89,66,117,1.08,26,113,59,10
南充,98,73,103,0.67,26,91,52,6
南京,82,60,100,0.56,29,102,76,13
南宁,59,40,65,0.87,24,101,69,13
南平,65,46,58,0.85,15,98,74,6
南通,71,38,89,0.86,50,53,45,17
南阳,52,21,52,0.73,18,74,43,5
那曲地区,35,24,21,0.47,5,74,57,4
内江,63,44,62,0.83,26,108,53,11
宁波,111,83,127,0.8,38,105,68,12
宁德,70,50,66,0.93,22,102,66,9
怒江州,59,35,65,0.75,9,82,44,8
盘锦,52,21,52,0.9,23,67,49,29
攀枝花,46,27,45,1.04,25,83,36,34
蓬莱,96,71,137,1.7,65,67,55,45
平顶山,43,27,42,0.75,22,95,64,12
平度,87,45,121,1.35,37,73,48,26
平凉,43,27,42,0.15,20,85,55,5
萍乡,119,89,132,2.2,25,113,58,20
普洱,28,10,21,0.4,10,80,54,4
莆田,81,59,76,1.08,23,107,70,10
濮阳,57,32,61,0.65,25,77,45,18
黔东南州,74,53,75,0.8,31,53,34,11
黔南州,65,46,68,0.5,23,59,33,19
黔西南州,51,34,50,1.0,15,64,51,3
青岛,96,71,126,1.34,70,41,33,25
庆阳,50,32,49,0.65,21,92,69,12
清远,56,39,48,1.1,18,110,83,11
秦皇岛,57,22,61,0.88,28,59,39,11
钦州,71,51,78,0.87,13,122,94,14
齐齐哈尔,57,17,61,0.5,18,54,56,19
七台河,53,26,53,0.37,23,55,46,15
泉州,86,63,80,1.13,24,116,68,10
曲靖,63,30,73,1.05,13,52,28,7
衢州,94,70,104,0.83,23,83,63,11
日喀则,45,6,6,0.4,5,102,89,8
日喀则地区,29,6,27,0.35,2,68,56,5
日照,92,49,131,0.63,32,70,44,14
荣成,80,58,95,1.6,57,73,59,26
乳山,94,54,136,1.35,60,66,63,27
三门峡,75,54,84,0.83,47,53,30,17
三明,54,37,51,0.63,17,94,70,6
三沙,30,7,20,0.3,30,51,58,6
三亚,54,21,32,0.9,9,128,103,4
上海,96,71,88,0.79,46,76,57,13
商洛,31,7,30,0.4,9,97,56,2
商丘,56,28,59,0.43,15,84,60,8
上饶,103,76,127,1.02,15,126,69,13
山南,35,3,17,0.45,6,110,68,3
山南地区,40,5,21,0.45,6,65,79,4
汕头,47,32,46,1.02,16,113,79,8
汕尾,61,34,70,0.8,9,105,81,7
韶关,63,44,52,0.86,14,102,69,9
绍兴,97,62,142,0.74,24,100,69,11
邵阳,82,60,81,0.78,21,105,59,12
沈阳,62,30,71,0.64,30,61,41,17
深圳,72,52,76,0.9,19,115,87,8
石河子,147,112,156,1.25,32,59,27,12
石家庄,60,22,68,0.7,38,60,53,40
十堰,37,20,36,0.55,12,83,60,11
石嘴山,117,88,138,1.68,36,61,37,70
寿光,90,43,128,1.35,44,53,41,42
双鸭山,41,28,40,0.55,20,56,55,9
朔州,54,28,56,0.62,13,76,48,16
四平,68,42,84,0.63,16,67,56,7
松原,50,10,49,0.25,4,64,52,5
绥化,81,59,71,0.8,6,48,39,12
遂宁,66,47,71,0.6,18,107,53,14
随州,83,61,85,0.77,16,108,65,9
宿迁,74,53,75,0.8,36,55,43,16
苏州,77,56,91,0.7,35,85,62,12
宿州,65,28,77,0.37,13,77,54,7
塔城地区,33,11,0,1.0,3,78,65,4
泰安,96,63,140,1.05,47,54,33,27
太仓,83,61,109,0.85,45,73,62,20
太原,110,82,145,1.5,66,49,27,70
台州,104,77,131,0.8,27,110,79,9
泰州,63,37,74,0.65,30,84,51,12
唐山,60,24,67,0.47,18,61,41,7
天津,65,46,77,1.18,49,57,35,23
天水,69,49,65,1.25,28,81,54,17
铁岭,68,43,83,0.63,29,62,48,16
铜川,54,28,56,0.98,28,90,65,11
通化,63,28,74,0.4,23,61,42,11
通辽,45,18,44,0.23,13,62,58,9
铜陵,122,92,123,1.0,24,107,67,19
铜仁地区,54,33,55,1.2,19,92,49,4
吐鲁番地区,106,79,154,1.45,28,60,32,42
瓦房店,25,14,24,0.5,27,66,42,31
潍坊,86,42,119,1.0,46,63,44,36
威海,82,60,107,0.97,70,73,65,23
渭南,93,69,105,0.93,38,67,31,15
文登,63,40,73,1.35,43,81,68,21
文山州,23,11,22,0.95,13,36,35,3
温州,63,44,70,0.53,20,97,70,8
乌海,30,16,24,0.4,8,95,50,12
武汉,115,86,112,0.68,34,92,62,12
芜湖,144,110,158,1.0,42,99,67,19
吴江,87,55,121,0.77,31,101,76,15
五家渠,143,109,145,1.8,63,0,15,10
乌兰察布,43,29,42,0.4,22,60,35,26
乌鲁木齐,61,43,59,1.21,45,56,26,10
武威,49,19,48,0.7,0,89,54,42
无锡,72,40,91,0.96,33,77,54,40
吴忠,55,28,57,0.5,19,75,41,24
梧州,69,49,67,1.1,20,107,71,14
厦门,59,37,66,1.0,16,110,63,6
西安,88,65,105,0.95,81,51,31,13
湘潭,100,75,109,1.57,49,92,55,35
湘西州,88,65,77,0.3,15,78,37,3
襄阳,69,47,85,0.73,23,90,59,13
咸宁,49,34,17,0.48,12,109,77,6
咸阳,75,54,87,0.88,42,77,47,9
孝感,114,85,117,0.95,7,92,62,11
锡林郭勒盟,40,8,39,0.15,5,75,62,33
兴安盟,52,21,52,0.1,5,80,67,3
邢台,63,33,73,0.8,43,71,39,25
西宁,50,35,45,1.4,36,77,54,18
新乡,50,14,49,0.77,32,66,50,22
信阳,48,30,47,0.45,15,118,81,8
新余,96,71,113,1.18,32,110,70,29
忻州,53,23,53,0.63,25,73,38,23
西双版纳州,27,12,26,0.5,7,84,41,5
宣城,86,63,74,0.7,19,123,103,10
许昌,39,15,38,0.63,13,103,73,7
徐州,73,39,94,0.68,31,59,41,16
雅安,61,43,51,0.75,16,53,36,5
延安,28,14,27,0.7,36,72,40,12
延边州,54,11,55,0.53,16,69,44,10
盐城,76,49,100,0.64,20,71,61,15
阳江,59,41,61,1.07,12,123,78,6
阳泉,57,23,61,0.6,26,72,62,33
扬州,73,45,94,0.52,26,83,61,9
烟台,85,53,117,0.83,37,69,53,26
宜宾,55,38,54,0.55,23,85,39,13
宜昌,48,30,47,0.75,24,85,40,6
宜春,65,46,70,0.6,18,91,64,13
伊春,65,41,78,0.55,21,56,38,13
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,82,60,70,1.3,26,65,39,27
银川,64,39,75,1.06,32,65,46,37
营口,75,54,95,1.2,52,37,34,24
鹰潭,81,59,66,0.46,23,139,78,12
义乌,46,32,0,1.1,45,123,73,0
宜兴,125,94,106,1.3,24,81,62,17
益阳,110,82,113,1.34,22,124,63,8
永州,86,63,77,0.6,32,121,68,14
岳阳,76,55,89,1.03,27,96,66,6
玉林,69,49,68,1.05,11,115,82,8
榆林,62,31,71,1.23,72,37,22,31
运城,91,67,101,0.95,20,101,54,27
云浮,48,28,47,0.77,20,102,72,22
玉树州,23,4,10,0.4,2,71,44,2
玉溪,31,17,30,0.63,12,64,36,9
枣庄,84,52,115,0.78,35,67,46,21
张家港,88,44,123,0.95,58,54,47,16
张家界,40,21,39,0.5,12,105,78,3
张家口,56,11,59,0.58,13,75,58,13
章丘,81,35,109,0.6,26,67,56,27
张掖,48,33,45,0.7,15,97,58,16
漳州,42,19,41,0.87,12,109,75,4
湛江,78,57,67,1.22,25,132,82,12
肇庆,60,42,61,0.63,25,119,80,8
昭通,30,15,20,0.9,15,72,59,18
招远,71,46,90,1.3,54,76,56,32
郑州,59,27,66,0.51,32,74,64,13
镇江,87,64,95,0.68,41,90,53,13
中山,80,58,73,0.83,33,141,93,10
中卫,64,45,64,0.8,25,67,38,29
周口,54,23,56,0.43,18,92,64,9
舟山,89,66,98,0.8,28,86,65,7
珠海,91,67,89,0.9,17,159,94,9
诸暨,125,94,115,1.2,25,135,75,9
驻马店,40,21,37,0.27,16,101,78,6
株洲,103,76,111,0.86,32,111,61,18
淄博,72,39,92,0.74,30,64,48,24
自贡,87,64,85,0.7,13,88,42,8
资阳,63,44,65,0.63,20,113,53,10
遵义,51,32,50,0.5,24,58,29,15
